Fra-tid,Til-tid,Elgeseter PM10µg/m³,Elgeseter PM2.5µg/m³,Elgeseter NO2µg/m³
30.09.2022 00:00,30.09.2022 01:00,13.2,5.6,25.889999999999997
30.09.2022 01:00,30.09.2022 02:00,11.8,5.6,16.59
30.09.2022 02:00,30.09.2022 03:00,10.1,6.0,15.169999999999998
30.09.2022 03:00,30.09.2022 04:00,8.0,4.7,17.14
30.09.2022 04:00,30.09.2022 05:00,8.5,5.1,25.880000000000003
30.09.2022 05:00,30.09.2022 06:00,9.2,6.0,17.67
30.09.2022 06:00,30.09.2022 07:00,9.2,5.3,10.16
30.09.2022 07:00,30.09.2022 08:00,13.7,7.6,15.270000000000001
30.09.2022 08:00,30.09.2022 09:00,20.0,8.3,21.5
30.09.2022 09:00,30.09.2022 10:00,23.0,9.4,19.22
30.09.2022 10:00,30.09.2022 11:00,28.8,8.7,20.499999999999996
30.09.2022 11:00,30.09.2022 12:00,27.3,5.0,17.869999999999997
30.09.2022 12:00,30.09.2022 13:00,45.6,6.8,30.830000000000002
30.09.2022 13:00,30.09.2022 14:00,66.4,7.6,23.669999999999998
30.09.2022 14:00,30.09.2022 15:00,48.4,8.9,32.34
30.09.2022 15:00,30.09.2022 16:00,19.8,3.3,14.920000000000002
30.09.2022 16:00,30.09.2022 17:00,11.3,1.7,15.23
30.09.2022 17:00,30.09.2022 18:00,7.5,1.2,15.290000000000001
30.09.2022 18:00,30.09.2022 19:00,6.4,1.3,12.529999999999998
30.09.2022 19:00,30.09.2022 20:00,8.3,3.1,13.2
30.09.2022 20:00,30.09.2022 21:00,7.2,3.2,19.52
30.09.2022 21:00,30.09.2022 22:00,7.5,2.6,7.5
30.09.2022 22:00,30.09.2022 23:00,8.9,2.3,10.620000000000001
30.09.2022 23:00,01.10.2022 00:00,6.2,3.0,12.25
01.10.2022 00:00,01.10.2022 01:00,5.0,1.7,16.009999999999998
01.10.2022 01:00,01.10.2022 02:00,4.1,1.2,10.91
01.10.2022 02:00,01.10.2022 03:00,6.5,3.5,7.029999999999999
01.10.2022 03:00,01.10.2022 04:00,5.5,2.1,16.59
01.10.2022 04:00,01.10.2022 05:00,3.7,1.3,7.140000000000001
01.10.2022 05:00,01.10.2022 06:00,4.7,2.4,10.33
01.10.2022 06:00,01.10.2022 07:00,5.4,2.2,21.57
01.10.2022 07:00,01.10.2022 08:00,6.1,2.2,16.46
01.10.2022 08:00,01.10.2022 09:00,14.3,2.3,13.940000000000001
01.10.2022 09:00,01.10.2022 10:00,9.7,2.6,15.019999999999996
01.10.2022 10:00,01.10.2022 11:00,6.0,1.7,13.330000000000002
01.10.2022 11:00,01.10.2022 12:00,13.7,2.5,18.2
01.10.2022 12:00,01.10.2022 13:00,9.7,2.9,15.040000000000001
01.10.2022 13:00,01.10.2022 14:00,5.8,2.4,16.2
01.10.2022 14:00,01.10.2022 15:00,3.9,0.6,12.54
01.10.2022 15:00,01.10.2022 16:00,5.9,2.8,15.219999999999999
01.10.2022 16:00,01.10.2022 17:00,4.7,0.4,9.569999999999999
01.10.2022 17:00,01.10.2022 18:00,5.8,0.5,7.869999999999999
01.10.2022 18:00,01.10.2022 19:00,5.0,1.3,15.450000000000003
01.10.2022 19:00,01.10.2022 20:00,7.9,3.9,21.599999999999998
01.10.2022 20:00,01.10.2022 21:00,6.6,3.4,6.480000000000001
01.10.2022 21:00,01.10.2022 22:00,5.9,2.7,16.880000000000003
01.10.2022 22:00,01.10.2022 23:00,5.2,3.0,16.240000000000002
01.10.2022 23:00,02.10.2022 00:00,3.6,2.3,11.18
02.10.2022 00:00,02.10.2022 01:00,3.8,2.8,6.69
02.10.2022 01:00,02.10.2022 02:00,1.6,0.8,5.2299999999999995
02.10.2022 02:00,02.10.2022 03:00,5.3,4.3,14.61
02.10.2022 03:00,02.10.2022 04:00,2.8,1.4,8.27
02.10.2022 04:00,02.10.2022 05:00,3.7,3.1,10.750000000000002
02.10.2022 05:00,02.10.2022 06:00,4.7,4.0,11.95
02.10.2022 06:00,02.10.2022 07:00,3.3,2.7,10.16
02.10.2022 07:00,02.10.2022 08:00,2.7,1.9,17.380000000000003
02.10.2022 08:00,02.10.2022 09:00,2.2,1.2,8.92
02.10.2022 09:00,02.10.2022 10:00,2.9,2.3,9.610000000000001
02.10.2022 10:00,02.10.2022 11:00,4.8,4.1,15.320000000000004
02.10.2022 11:00,02.10.2022 12:00,3.4,2.8,14.5
02.10.2022 12:00,02.10.2022 13:00,3.6,2.3,11.18
02.10.2022 13:00,02.10.2022 14:00,5.3,1.2,9.600000000000001
02.10.2022 14:00,02.10.2022 15:00,11.3,3.3,11.66
02.10.2022 15:00,02.10.2022 16:00,8.8,3.8,17.990000000000002
02.10.2022 16:00,02.10.2022 17:00,11.8,5.6,16.59
02.10.2022 17:00,02.10.2022 18:00,12.3,5.6,20.73
02.10.2022 18:00,02.10.2022 19:00,14.6,5.9,15.59
02.10.2022 19:00,02.10.2022 20:00,18.4,9.2,14.280000000000001
02.10.2022 20:00,02.10.2022 21:00,17.5,9.4,26.309999999999995
02.10.2022 21:00,02.10.2022 22:00,12.6,7.8,19.139999999999997
02.10.2022 22:00,02.10.2022 23:00,12.4,7.4,20.65
02.10.2022 23:00,03.10.2022 00:00,8.2,4.2,15.829999999999998
03.10.2022 00:00,03.10.2022 01:00,8.3,7.1,27.059999999999995
03.10.2022 01:00,03.10.2022 02:00,4.8,4.5,18.04
03.10.2022 02:00,03.10.2022 03:00,4.0,2.7,5.64
03.10.2022 03:00,03.10.2022 04:00,3.0,1.8,10.23
03.10.2022 04:00,03.10.2022 05:00,3.6,2.3,11.18
03.10.2022 05:00,03.10.2022 06:00,2.4,1.0,9.78
