Elgeseter PM10µg/m³,Elgeseter PM2.5µg/m³,Elgeseter NO2µg/m³,Hour,Trafikkmengde,Year,Month,Day
0.0,1.4,1.0,4,97,2023,3,18
0.0,0.0,0.9,2,48,2023,9,12
6.9,4.4,13.429999999999998,17,1237,2022,10,9
23.4,16.4,21.3,21,828,2022,11,9
13.726756302521007,6.1375126050420175,16.583335387649452,16,1835,2023,6,5
0.0,0.0,16.0,12,1503,2023,3,7
10.5,7.5,24.2,17,1490,2023,1,19
3.2,6.2,4.6,7,333,2023,4,16
8.1,3.1,8.9,14,1118,2022,12,31
5.7,4.0,19.9,7,1909,2022,11,1
2.42,2.54,3.5,6,170,2023,6,4
5.73,2.5900000000000003,4.2,3,54,2023,5,22
8.48,4.84,11.9,8,969,2023,7,14
0.5,2.9,19.1,14,1223,2023,3,5
33.4,32.8,33.2,21,695,2022,12,11
9.37,4.68,11.8,12,1812,2023,8,11
0.0,0.4,8.5,15,2216,2023,3,24
2.3,0.8,10.4,4,76,2022,11,3
16.7,5.8,22.5,11,1206,2023,4,4
6.469999999999999,4.59,8.2,17,1552,2023,4,28
3.9,3.8,2.5,4,70,2023,1,20
10.2,7.7,25.84,18,1092,2022,10,9
4.98,4.369999999999999,6.5,5,147,2023,7,12
6.4,5.2,12.6,2,108,2022,12,2
5.18,2.91,2.3,3,65,2023,8,3
0.0,0.0,1.4,2,327,2023,3,18
9.290000000000004,4.950000000000001,8.5,5,136,2023,7,31
3.25,2.16,1.3,6,207,2023,4,30
8.48,4.84,11.9,7,1884,2023,5,25
26.0,23.9,66.8,16,1144,2022,12,28
7.4,4.1,5.1,12,1103,2023,4,1
24.4,5.0,14.2,7,1978,2023,4,11
8.9,6.5,29.2,20,819,2022,10,28
5.840000000000001,3.5700000000000003,6.1,16,1285,2023,7,24
80.6,14.5,34.5,19,1104,2022,11,3
55.9,8.0,26.7,12,788,2023,4,19
2.9,0.0,4.7,21,715,2022,11,27
9.290000000000004,4.950000000000001,8.5,9,1605,2023,4,11
0.0,1.4,2.2,4,73,2023,2,17
29.6,5.9,14.1,14,1945,2023,3,28
2.5,0.7,22.0,8,1802,2022,12,15
48.5,9.1,7.5,15,1378,2023,6,11
3.3200000000000003,2.41,2.7,3,77,2023,6,28
7.6,6.1,17.2,15,1212,2023,2,19
22.7,9.7,9.2,23,262,2023,4,17
60.98,8.35,10.7,6,473,2023,7,28
27.2,0.0,21.5,12,1140,2022,10,30
56.1,3.5,23.4,16,1873,2023,4,17
0.7,1.5,10.1,3,175,2023,3,25
30.89,7.95,26.1,11,1503,2023,7,3
16.0,12.8,40.4,18,1228,2023,1,13
13.726756302521007,6.1375126050420175,16.583335387649452,9,1411,2023,8,22
38.7,8.5,31.9,15,2280,2023,9,6
36.1,13.3,27.2,14,2244,2023,6,16
19.4,4.3,16.7,3,63,2022,11,17
3.54,3.3200000000000003,2.5,21,599,2023,7,15
13.8,7.1,7.3,11,1165,2022,11,12
12.91,8.1,27.1,9,1787,2023,6,1
4.4,2.9,17.1,3,318,2022,12,3
16.5,2.9,18.6,12,1662,2022,11,22
13.12,5.369999999999999,10.3,5,167,2023,8,15
5.2,0.9,3.7,12,1040,2023,9,17
1.4,1.0,2.8,0,178,2022,11,4
4.8,3.0,5.6,1,71,2022,11,7
2.0,0.8,8.3,2,94,2022,11,4
36.1,32.2,52.3,15,2207,2022,12,12
7.8,8.3,35.0,13,1873,2023,6,30
12.1,8.4,8.7,10,1688,2023,6,21
3.5,7.5,19.9,21,968,2023,3,23
14.86,5.8100000000000005,17.4,17,1427,2023,5,2
9.290000000000004,4.950000000000001,8.5,17,1097,2023,7,20
4.0,2.3,10.010000000000002,5,151,2022,10,13
12.4,2.4,12.5,10,824,2023,9,23
17.9,9.4,10.4,12,1168,2023,6,11
7.479999999999999,3.37,4.0,3,210,2023,8,26
60.4,9.4,4.1,17,1357,2023,4,11
22.5,1.8,9.9,14,1974,2022,11,3
7.2,6.6,13.6,3,104,2022,12,2
36.9,20.7,46.4,13,1843,2022,12,2
13.7,1.7,10.4,11,1562,2022,11,24
2.7,3.7,28.6,16,1893,2023,1,26
8.17,4.51,8.3,12,1738,2023,8,17
7.4,7.0,9.6,2,62,2022,12,12
6.7,3.24,9.2,20,767,2023,7,21
3.5,2.7,8.9,5,152,2023,9,13
50.0,7.8,24.78,13,1772,2022,10,10
0.0,0.0,0.7,2,77,2023,2,9
11.14,4.67,17.2,7,1460,2023,8,18
0.0,0.0,21.4,13,1774,2023,2,9
7.1800000000000015,3.9099999999999993,14.0,16,1861,2023,8,23
13.5,8.0,12.3,1,68,2022,11,8
10.889999999999995,4.75,9.7,5,89,2023,8,19
1.5,0.8,8.84,5,90,2022,10,9
9.6,3.6,5.0,3,50,2023,9,8
2.0900000000000003,2.63,3.7,2,326,2023,9,2
12.19,5.459999999999999,8.0,1,167,2023,8,25
3.6,3.6,19.4,17,1473,2023,3,16
5.0600000000000005,2.29,3.1,4,65,2023,4,10
3.2,2.8,5.3,17,945,2022,12,18
2.5,6.8,14.6,8,1546,2023,6,28
18.7,19.2,44.5,19,1096,2023,2,15
26.1,12.7,22.0,22,678,2022,10,21
1.1,0.6,8.669999999999998,4,93,2022,10,8
18.0,3.8,22.4,5,175,2023,3,28
7.540000000000001,4.999999999999999,13.3,17,1233,2023,4,22
16.6,4.3,16.3,6,930,2022,11,14
9.5,3.5,10.8,22,449,2023,9,24
0.2,3.1,2.5,6,173,2023,1,29
14.4,9.3,24.610000000000003,19,1070,2022,10,15
26.110000000000003,7.18,20.3,13,1769,2023,5,3
1.91,1.14,1.8,4,76,2023,8,28
5.7,0.9,5.8,20,982,2022,11,28
19.68,5.339999999999999,25.1,18,1081,2023,5,7
1.9,1.1,27.2,19,850,2023,2,25
10.0,7.3,4.2,10,712,2023,2,5
9.94,5.970000000000001,6.2,14,1570,2023,7,26
10.260000000000002,4.45,7.5,19,1023,2023,4,30
1.2,3.6,20.0,3,66,2023,3,22
4.2,1.5,9.47,8,1554,2022,10,12
11.4,4.5,21.7,9,437,2023,3,5
2.8,1.9,11.72,14,1965,2022,10,6
23.0,9.4,19.22,9,1576,2022,9,30
0.0,1.7,5.1,17,1494,2023,3,17
10.0,7.6,13.1,20,818,2023,1,20
3.7,5.1,22.4,11,1610,2023,3,9
27.2,27.8,42.1,22,646,2023,2,15
25.8,11.8,58.2,12,1798,2022,12,20
3.1,1.6,2.5,6,175,2023,9,17
15.1,9.5,5.0,23,675,2023,6,16
5.449999999999999,4.369999999999999,9.6,17,1255,2023,5,19
5.2,2.5,8.4,21,774,2023,9,18
9.320000000000002,5.8,24.5,14,2206,2023,5,16
11.0,6.44,14.3,14,1598,2023,8,5
22.0,7.1,32.9,18,1418,2023,4,19
2.42,2.54,3.5,2,99,2023,7,26
0.0,1.0,3.4,20,489,2022,12,31
8.290000000000001,4.640000000000001,8.6,18,934,2023,7,2
11.6,9.8,36.3,16,1663,2022,12,22
3.61,3.6,3.2,4,126,2023,5,7
70.6,14.2,54.4,21,1014,2023,3,29
18.5,7.9,19.6,7,1935,2022,11,8
11.7,7.7,18.1,12,1604,2023,2,13
5.6,5.1,18.4,15,1327,2023,1,15
6.860000000000001,3.25,10.1,8,844,2023,7,19
8.38,2.4,6.4,18,1133,2023,8,9
28.84,7.82,27.2,12,1772,2023,5,30
0.0,2.9,12.4,3,40,2023,2,7
10.93,3.3,6.7,18,1264,2023,5,25
8.290000000000001,4.640000000000001,8.6,22,499,2023,7,10
4.2,3.0200000000000005,2.9,22,673,2023,4,22
6.5,1.4,15.82,9,1613,2022,10,26
9.7,3.2,12.5,16,1524,2023,9,19
0.0,0.6,1.2,2,65,2023,3,1
12.2,4.8,22.2,8,1745,2023,9,12
0.0,1.0,9.0,18,1186,2023,2,27
6.82,3.77,12.8,14,1602,2023,7,20
0.0,0.9,2.6,8,158,2023,1,1
21.18,6.840000000000001,20.4,6,936,2023,5,31
0.0,0.0,3.0,4,77,2023,1,27
12.2,11.8,25.0,8,258,2022,12,11
14.4,1.4,5.3,18,1326,2022,11,23
12.56,4.109999999999999,12.0,23,755,2023,8,11
24.270000000000003,6.73,22.6,9,550,2023,5,20
4.0,4.2,7.0,23,286,2023,4,2
0.0,0.0,12.5,4,95,2023,3,22
0.0,0.4,1.9,4,69,2023,1,30
6.9,1.4,14.1,18,1305,2023,9,5
3.0699999999999994,2.6,2.0,7,524,2023,5,1
5.5,4.5,9.6,23,542,2023,1,20
2.6,1.5,6.68,9,1544,2022,10,11
0.0,0.0,6.4,10,881,2022,11,26
2.6,4.0,19.3,11,1538,2023,3,6
15.1,5.29,9.0,20,880,2023,7,30
10.9,6.5,29.0,21,834,2022,10,24
